group,domain,form,n_ids,n_domain_cols
full_enrolled,Activities of Daily Living,Clinical,1778,1
full_enrolled,Activities of Daily Living,PDQ 39,462,6
full_enrolled,Activities of Daily Living,PDQ 8,190,1
full_enrolled,Activities of Daily Living,Schwab & England,185,1
full_enrolled,Admin,Apathy Scale,186,2
full_enrolled,Admin,BAI,63,2
full_enrolled,Admin,Clinical,1778,16
full_enrolled,Admin,Demographic,2005,46
full_enrolled,Admin,EHI,478,2
full_enrolled,Admin,Enrollement,2081,37
full_enrolled,Admin,Epidemiological,2286,43
full_enrolled,Admin,Fatigue Severity Scale,185,2
full_enrolled,Admin,MBIC,441,3
full_enrolled,Admin,MBIC (CaPRI),367,3
full_enrolled,Admin,MDS-UPDRS,1625,4
full_enrolled,Admin,MDS-UPDRS-1,22,4
full_enrolled,Admin,Medication,1782,4
full_enrolled,Admin,MoCA,1825,11
full_enrolled,Admin,MoCA-1,35,11
full_enrolled,Admin,MoCA-2,1,11
full_enrolled,Admin,Neuropsychological,385,3
full_enrolled,Admin,Neuropsychological (CaPRI),135,3
full_enrolled,Admin,Neuropsychological V02,35,7
full_enrolled,Admin,PDQ 39,462,2
full_enrolled,Admin,PDQ 8,190,2
full_enrolled,Admin,Parkinson Severity Scale,189,2
full_enrolled,Admin,SCOPA,188,4
full_enrolled,Admin,Schwab & England,185,3
full_enrolled,Admin,Timed Up Go,190,2
full_enrolled,Admin,UPDRS 1.2 part 3,160,2
full_enrolled,Autonomic Functioning,Epidemiological,2286,3
full_enrolled,Autonomic Functioning,SCOPA,188,35
full_enrolled,Behaviour,MBIC,441,17
full_enrolled,Behaviour,MBIC (CaPRI),367,17
full_enrolled,Clinical History / Diagnosis,Clinical,1778,30
full_enrolled,Clinical History / Diagnosis,Epidemiological,2286,33
full_enrolled,Cognitive Function,Clinical,1778,5
full_enrolled,Cognitive Function,Epidemiological,2286,4
full_enrolled,Cognitive Function,MDS-UPDRS,1625,2
full_enrolled,Cognitive Function,MDS-UPDRS-1,22,2
full_enrolled,Cognitive Function,MoCA,1825,8
full_enrolled,Cognitive Function,MoCA-1,35,8
full_enrolled,Cognitive Function,MoCA-2,1,8
full_enrolled,Cognitive Function,Neuropsychological,385,44
full_enrolled,Cognitive Function,Neuropsychological (CaPRI),135,91
full_enrolled,Cognitive Function,Neuropsychological V02,35,97
full_enrolled,Cognitive Function,PDQ 39,462,2
full_enrolled,Cognitive Function,PDQ 8,190,1
full_enrolled,Composite Scores,Apathy Scale,186,1
full_enrolled,Composite Scores,BAI,63,2
full_enrolled,Composite Scores,BDII,467,2
full_enrolled,Composite Scores,EHI,478,4
full_enrolled,Composite Scores,Fatigue Severity Scale,185,2
full_enrolled,Composite Scores,MBIC,441,6
full_enrolled,Composite Scores,MBIC (CaPRI),367,6
full_enrolled,Composite Scores,MDS-UPDRS,1625,4
full_enrolled,Composite Scores,MDS-UPDRS-1,22,4
full_enrolled,Composite Scores,MoCA,1825,3
