label,form,ids,note
full_enrolled,enrollment,2286,
full_enrolled,Apathy Evaluation Informant,0,complete
full_enrolled,Apathy Evaluation Self,0,complete
full_enrolled,Apathy Scale,186,complete
full_enrolled,BAI,63,complete
full_enrolled,BDII,467,complete
full_enrolled,Clinical,1778,complete
full_enrolled,Demographic,2005,complete
full_enrolled,EHI,478,complete
full_enrolled,Epidemiological,2286,no_completion_col
full_enrolled,Fatigue Severity Scale,185,complete
full_enrolled,FrSBe,0,complete
full_enrolled,MBIC,441,complete
full_enrolled,MBIC (CaPRI),367,complete
full_enrolled,MDS-UPDRS,1625,complete
full_enrolled,MDS-UPDRS-1,22,complete
full_enrolled,Medication,1782,complete
full_enrolled,MoCA,1825,complete
full_enrolled,MoCA-1,35,complete
full_enrolled,MoCA-2,1,complete
full_enrolled,Neuropsychological,385,complete
full_enrolled,Neuropsychological (CaPRI),135,complete
full_enrolled,Neuropsychological V02,35,complete
full_enrolled,PDQ 39,462,complete
full_enrolled,PDQ 8,190,complete
full_enrolled,Parkinson Severity Scale,189,complete
full_enrolled,SCOPA,188,complete
full_enrolled,Schwab & England,185,complete
full_enrolled,Timed Up Go,190,complete
full_enrolled,UPDRS 1.2 part 3,160,complete
full_enrolled/by_enrolment_group/PD,enrollment,1890,
full_enrolled/by_enrolment_group/PD,Apathy Evaluation Informant,0,complete
full_enrolled/by_enrolment_group/PD,Apathy Evaluation Self,0,complete
full_enrolled/by_enrolment_group/PD,Apathy Scale,183,complete
full_enrolled/by_enrolment_group/PD,BAI,47,complete
full_enrolled/by_enrolment_group/PD,BDII,423,complete
full_enrolled/by_enrolment_group/PD,Clinical,1661,complete
full_enrolled/by_enrolment_group/PD,Demographic,1700,complete
full_enrolled/by_enrolment_group/PD,EHI,396,complete
full_enrolled/by_enrolment_group/PD,Epidemiological,1890,no_completion_col
full_enrolled/by_enrolment_group/PD,Fatigue Severity Scale,182,complete
full_enrolled/by_enrolment_group/PD,FrSBe,0,complete
full_enrolled/by_enrolment_group/PD,MBIC,425,complete
full_enrolled/by_enrolment_group/PD,MBIC (CaPRI),303,complete
full_enrolled/by_enrolment_group/PD,MDS-UPDRS,1480,complete
full_enrolled/by_enrolment_group/PD,MDS-UPDRS-1,22,complete
full_enrolled/by_enrolment_group/PD,Medication,1638,complete
full_enrolled/by_enrolment_group/PD,MoCA,1533,complete
full_enrolled/by_enrolment_group/PD,MoCA-1,25,complete
full_enrolled/by_enrolment_group/PD,MoCA-2,1,complete
full_enrolled/by_enrolment_group/PD,Neuropsychological,272,complete
full_enrolled/by_enrolment_group/PD,Neuropsychological (CaPRI),121,complete
full_enrolled/by_enrolment_group/PD,Neuropsychological V02,34,complete
full_enrolled/by_enrolment_group/PD,PDQ 39,429,complete
full_enrolled/by_enrolment_group/PD,PDQ 8,187,complete
full_enrolled/by_enrolment_group/PD,Parkinson Severity Scale,186,complete
full_enrolled/by_enrolment_group/PD,SCOPA,185,complete
full_enrolled/by_enrolment_group/PD,Schwab & England,182,complete
full_enrolled/by_enrolment_group/PD,Timed Up Go,182,complete
full_enrolled/by_enrolment_group/PD,UPDRS 1.2 part 3,159,complete
full_enrolled/by_enrolment_group/AP,enrollment,109,
full_enrolled/by_enrolment_group/AP,Apathy Evaluation Informant,0,complete
full_enrolled/by_enrolment_group/AP,Apathy Evaluation Self,0,complete
full_enrolled/by_enrolment_group/AP,Apathy Scale,2,complete
full_enrolled/by_enrolment_group/AP,BAI,2,complete
full_enrolled/by_enrolment_group/AP,BDII,7,complete
full_enrolled/by_enrolment_group/AP,Clinical,86,complete
full_enrolled/by_enrolment_group/AP,Demographic,93,complete
full_enrolled/by_enrolment_group/AP,EHI,26,complete
full_enrolled/by_enrolment_group/AP,Epidemiological,109,no_completion_col
full_enrolled/by_enrolment_group/AP,Fatigue Severity Scale,2,complete
full_enrolled/by_enrolment_group/AP,FrSBe,0,complete
full_enrolled/by_enrolment_group/AP,MBIC,12,complete
full_enrolled/by_enrolment_group/AP,MBIC (CaPRI),23,complete
full_enrolled/by_enrolment_group/AP,MDS-UPDRS,60,complete
full_enrolled/by_enrolment_group/AP,MDS-UPDRS-1,0,complete
full_enrolled/by_enrolment_group/AP,Medication,82,complete
full_enrolled/by_enrolment_group/AP,MoCA,72,complete
full_enrolled/by_enrolment_group/AP,MoCA-1,1,complete
full_enrolled/by_enrolment_group/AP,MoCA-2,0,complete
