Domain,Form,Grouping,Variable,KW H,raw p,η²,BH adj p,BH sig,AP n,AP mean,AP sd,AP median,HC n,HC mean,HC sd,HC median,PD n,PD mean,PD sd,PD median,DLB n,DLB mean,DLB sd,DLB median,ET n,ET mean,ET sd,ET median,MSA n,MSA mean,MSA sd,MSA median,PSP n,PSP mean,PSP sd,PSP median,RBD n,RBD mean,RBD sd,RBD median
Admin,Clinical,enrolment_group,"Determined diagnosis:  If score = 0, Parkinson's Dis",1338.5363,0.0,0.7799,0.0,Yes,69.0,2.348,2.141,2.0,0.0,,,,1648,0.014,0.247,0.0,,,,,,,,,,,,,,,,,,,,
Admin,Clinical,enrolment_group,B. Height of the participant (ft):,13.4281,0.001214,0.024,0.004249,Yes,35.0,5.434,0.35,5.31,25.0,5.39,0.263,5.4,420,5.565,0.332,5.6,,,,,,,,,,,,,,,,,,,,
Admin,Clinical,enrolment_group,Height of the participant (cm):,11.291,0.003533,0.0196,0.008244,Yes,35.0,164.828,10.075,162.0,23.0,165.647,7.864,164.59,420,168.898,13.923,170.69,,,,,,,,,,,,,,,,,,,,
Admin,Demographic,enrolment_group,Age at study visit (automatic calculated field):,8.2626,0.016062,0.0032,0.021416,Yes,86.0,65.674,11.564,67.0,202.0,62.916,11.611,66.0,1644,66.091,9.491,67.0,,,,,,,,,,,,,,,,,,,,
Admin,Demographic,enrolment_group,5. Years of education (calculate the total number of,9.7538,0.007621,0.0044,0.015242,Yes,81.0,14.679,2.898,15.0,184.0,15.739,2.48,16.0,1519,15.083,2.994,16.0,,,,,,,,,,,,,,,,,,,,
Admin,Demographic,enrolment_group,11b. How many language(s) do you speak?,22.2105,1.5e-05,0.0325,6e-05,Yes,50.0,2.2,0.904,2.0,82.0,2.134,0.662,2.0,493,1.832,0.761,2.0,,,,,,,,,,,,,,,,,,,,
Admin,Enrollement,enrolment_group,How many follow-ups were completed by this participa,10.5594,0.005094,0.0707,0.015282,Yes,5.0,1.6,0.894,1.0,10.0,1.0,0.0,1.0,109,2.018,1.147,2.0,,,,,,,,,,,,,,,,,,,,
Admin,Enrollement,enrolment_group,Age at blood draw:,7.911,0.019149,0.0034,0.028724,Yes,78.0,65.846,10.95,66.5,220.0,62.809,12.022,66.0,1435,66.028,9.3,67.0,,,,,,,,,,,,,,,,,,,,
Admin,Moca,enrolment_group,MoCA Test Version Administered,30.8505,0.0,0.0162,0.0,Yes,71.0,8.134,0.199,8.1,209.0,7.993,0.389,8.1,1500,7.957,0.387,8.1,,,,,,,,,,,,,,,,,,,,
Admin,Moca 1,enrolment_group,MoCA Test Version Administered,8.75,0.003096,0.7045,0.003096,Yes,,,,,7.0,8.1,0.0,8.1,6,7.267,0.408,7.1,,,,,,,,,,,,,,,,,,,,
Admin,Clinical,determined_dx,"Determined diagnosis:  If score = 0, Parkinson's Dis",1713.0,0.0,1.0,0.0,Yes,,,,,,,,,1651,0.0,0.0,0.0,9.0,4.0,0.0,4.0,8.0,6.0,0.0,6.0,16.0,2.0,0.0,2.0,25.0,1.0,0.0,1.0,5.0,7.0,0.0,7.0
Admin,Clinical,determined_dx,Height of the participant (cm):,12.5411,0.01375,0.0195,0.048125,Yes,,,,,,,,,415,168.82,13.963,170.69,2.0,179.915,0.12,179.915,6.0,161.29,7.241,160.02,6.0,159.083,5.142,157.29,12.0,170.235,10.057,174.87,3.0,176.993,13.739,180.0
Admin,Demographic,determined_dx,Age at study visit (automatic calculated field):,21.5149,0.000647,0.0102,0.002588,Yes,,,,,,,,,1571,66.133,9.272,67.0,9.0,66.667,4.975,68.0,7.0,57.571,18.128,65.0,15.0,59.0,5.305,60.0,22.0,71.545,8.868,70.0,6.0,61.833,4.708,60.5
Admin,Enrollement,determined_dx,Age at blood draw:,17.4732,0.003685,0.0086,0.011055,Yes,,,,,,,,,1393,66.189,9.266,67.0,9.0,66.0,4.717,66.0,6.0,56.5,19.233,61.0,12.0,58.917,4.889,60.0,25.0,70.28,9.374,68.0,8.0,62.375,5.553,61.0
Admin,Moca,determined_dx,MoCA Test Version Administered,22.2169,0.000476,0.0115,0.000476,Yes,,,,,,,,,1455,7.955,0.388,8.1,8.0,8.162,0.092,8.1,6.0,8.0,0.447,8.15,8.0,8.025,0.385,8.1,23.0,8.139,0.246,8.1,6.0,8.167,0.103,8.1
Clinical_History__Diagnosis,Clinical,enrolment_group,What is the current duration of disease? (years),50.0492,0.0,0.0285,0.0,Yes,78.0,5.778,6.123,4.4,0.0,,,,1646,9.293,5.738,8.1,,,,,,,,,,,,,,,,,,,,
Clinical_History__Diagnosis,Clinical,enrolment_group,What is the duration of disease at the time the clin,32.5408,0.0,0.0184,0.0,Yes,78.0,3.542,5.957,1.7,0.0,,,,1642,5.883,5.366,4.2,,,,,,,,,,,,,,,,,,,,
Clinical_History__Diagnosis,Clinical,enrolment_group,What is the duration of disease at the time the bloo,16.1437,5.9e-05,0.0104,0.000275,Yes,60.0,4.125,6.608,2.25,0.0,,,,1396,5.753,5.272,4.1,,,,,,,,,,,,,,,,,,,,
Clinical_History__Diagnosis,Clinical,enrolment_group,Current duration since symptoms first appear: (years,14.9161,0.000112,0.0081,0.000392,Yes,83.0,10.282,9.833,7.3,0.0,,,,1639,11.613,6.48,10.2,,,,,,,,,,,,,,,,,,,,
Clinical_History__Diagnosis,Clinical,determined_dx,What is the current duration of disease? (years),47.2753,0.0,0.025,0.0,Yes,,,,,,,,,1639,9.31,5.722,8.1,9.0,3.956,3.053,4.0,8.0,11.65,13.579,6.1,14.0,4.821,3.141,4.7,22.0,4.395,2.659,3.65,5.0,4.7,2.706,6.4
Clinical_History__Diagnosis,Clinical,determined_dx,What is the duration of disease at the time the clin,30.4824,1.2e-05,0.0151,5.6e-05,Yes,,,,,,,,,1635,5.887,5.357,4.2,9.0,2.378,2.346,1.3,8.0,9.562,13.499,3.7,14.0,2.136,2.152,1.5,22.0,2.245,1.93,1.9,5.0,3.56,3.221,5.4
Clinical_History__Diagnosis,Clinical,determined_dx,What is the duration of disease at the time the bloo,25.5187,0.000111,0.0143,0.000311,Yes,,,,,,,,,1389,5.765,5.266,4.2,9.0,1.422,0.928,1.5,7.0,10.929,13.97,4.8,8.0,3.287,2.704,2.9,20.0,2.34,1.721,1.95,5.0,2.34,2.266,2.8
Clinical_History__Diagnosis,Clinical,determined_dx,What is the age at diagnosis? (years),14.7486,0.011492,0.0058,0.020111,Yes,,,,,,,,,1628,60.348,10.222,61.0,9.0,64.778,4.994,65.0,8.0,51.0,21.679,47.0,14.0,57.214,6.974,60.0,22.0,67.273,10.072,67.0,5.0,59.8,3.899,60.0
Clinical_History__Diagnosis,Clinical,determined_dx,Current duration since symptoms first appear: (years,32.7749,4e-06,0.0165,2.8e-05,Yes,,,,,,,,,1630,11.624,6.476,10.15,9.0,8.233,3.116,7.3,8.0,26.275,22.748,20.1,16.0,6.956,3.367,6.75,24.0,6.921,2.939,6.1,4.0,14.375,8.318,13.8
