Form,Grouping,Variable,Type,Test,Statistic,p_value,Significant,HC n,HC mean,HC sd,HC median,PD n,PD mean,PD sd,PD median,AP n,AP mean,AP sd,AP median,DLB n,DLB mean,DLB sd,DLB median,ET n,ET mean,ET sd,ET median,MSA n,MSA mean,MSA sd,MSA median,PSP n,PSP mean,PSP sd,PSP median,RBD n,RBD mean,RBD sd,RBD median
Bai,by_enrolment_group,BAI Total Score,Numeric,Kruskal-Wallis,8.1577,0.004288,Yes,14.0,5.786,4.775,4.5,47.0,12.681,8.151,11.0,,,,,,,,,,,,,,,,,,,,,,,,
Bai,by_enrolment_group,"3. Wobbliness in legs/'jambes molles', tremblements ",Categorical,Chi-square,20.2839,0.000148,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bai,by_enrolment_group,"8. Unsteady/mal assuré(e), manque d'assurance dans m",Categorical,Chi-square,12.1096,0.007017,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bai,by_enrolment_group,12. Hands trembling/tremblement de mains,Categorical,Chi-square,18.2633,0.000388,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bai,by_enrolment_group,"13. Shaky/tremblements, chancelant(e)",Categorical,Chi-square,15.3452,0.001544,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bai,by_enrolment_group,enrolment_group,Categorical,Chi-square,55.476,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,BDI-II Total Score,Numeric,Kruskal-Wallis,8.3601,0.015298,Yes,36.0,6.306,5.999,4.0,421.0,9.095,7.032,8.0,7.0,15.143,12.915,10.0,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,How were the test completed?,Categorical,Chi-square,19.8352,0.000538,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,2. Pessimism/Pessimisme,Categorical,Chi-square,43.8103,0.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,3. Past Failure/Échecs dans le passé,Categorical,Chi-square,13.6647,0.033615,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdii,by_enrolment_group,4. Loss of Pleasure/Perte de plaisir,Categorical,Chi-square,25.1937,0.000314,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
