rank,feature,mean_abs_shap
1,first_sx_tremor,1.73758
2,bradykinesia_mean,1.141
3,study_visit_age,0.88822
4,smell,0.80148
5,moca_total,0.47752
6,symptom_asymmetry,0.45325
7,updrs_3_10,0.44489
8,gender,0.43673
9,yrs_education,0.42674
10,updrs_2_8,0.32076
11,updrs_2_12,0.28629
12,updrs_2_1,0.27971
13,moca_attention,0.27751
14,moca_visuosp,0.27646
15,dreams,0.27291
16,pdq39_mobility,0.25072
17,pdq39_communication,0.22962
18,updrs_3_14,0.22956
19,updrs_2_7,0.22481
20,comorbidities,0.22441
21,asymmetry_index,0.20972
22,updrs_3_3_neck,0.20619
23,action_tremor_mean,0.205
24,pdq39_summary,0.19322
25,updrs_1_12,0.18895
26,first_sx_rigidity,0.18291
27,constipation,0.18069
28,updrs_3_1,0.16061
29,updrs_2_13,0.1537
30,aunts_uncles_pd,0.1407
31,current_asymmetry,0.14031
32,rest_tremor_mean,0.13786
33,updrs_2_10,0.12966
34,pesticides,0.12339
35,first_sx_brady,0.11721
36,updrs_2_5,0.11653
37,updrs_1_11,0.10368
38,head_blow,0.09392
39,updrs_3_2,0.09363
40,grandparents,0.07819
41,rigidity_limb_mean,0.07731
42,updrs_3_18,0.07428
43,updrs_1_13,0.07121
44,updrs_1_5,0.06169
45,updrs_1_3,0.05787
46,updrs_1_10,0.04628
47,updrs_3_13,0.04382
48,updrs_1_4,0.03504
49,updrs_3_11,0.03009
50,updrs_1_1,0.03009
51,updrs_3_12,0.02984
52,updrs_1_2,0.02867
