rank,feature,mean_abs_shap
1,first_sx_tremor,1.16011
2,bradykinesia_mean,0.76769
3,smell,0.65864
4,study_visit_age,0.47099
5,gender,0.34567
6,symptom_asymmetry,0.33567
7,moca_total,0.31803
8,updrs_3_10,0.31324
9,updrs_2_8,0.23619
10,yrs_education,0.2352
11,action_tremor_mean,0.21688
12,comorbidities,0.21498
13,moca_attention,0.21366
14,updrs_3_14,0.20421
15,updrs_1_12,0.19591
16,dreams,0.18918
17,updrs_3_1,0.17927
18,pdq39_mobility,0.17441
19,updrs_2_12,0.1651
20,updrs_2_7,0.15836
21,updrs_3_3_neck,0.15677
22,updrs_2_1,0.15053
23,pdq39_summary,0.14666
24,first_sx_brady,0.14032
25,moca_visuosp,0.13891
26,updrs_2_13,0.131
27,pdq39_communication,0.11471
28,pesticides,0.11004
29,asymmetry_index,0.10783
30,first_sx_rigidity,0.1025
31,updrs_1_11,0.10222
32,constipation,0.09704
33,updrs_2_10,0.08921
34,current_asymmetry,0.08852
35,aunts_uncles_pd,0.07832
36,updrs_1_13,0.07629
37,updrs_2_5,0.0629
38,rigidity_limb_mean,0.05658
39,updrs_3_18,0.05075
40,grandparents,0.04638
41,rest_tremor_mean,0.04531
42,updrs_3_2,0.04396
43,head_blow,0.04201
44,updrs_1_3,0.04007
45,updrs_3_11,0.03509
46,updrs_1_5,0.02932
47,updrs_3_12,0.0225
48,updrs_1_10,0.01975
49,updrs_1_1,0.01971
50,updrs_3_13,0.01382
51,updrs_1_4,0.01175
52,updrs_1_2,0.0076
