rank,feature,mean_abs_shap
1,study_visit_age,0.57408
2,asymmetry_index,0.37058
3,first_sx_tremor,0.35382
4,smell,0.34573
5,dreams,0.29905
6,bradykinesia_mean,0.2767
7,constipation,0.26217
8,current_asymmetry,0.24228
9,moca_total,0.23829
10,gender,0.23256
11,pdq39_communication,0.22585
12,updrs_3_1,0.21498
13,yrs_education,0.20479
14,pesticides,0.20303
15,symptom_asymmetry,0.19152
16,head_blow,0.15355
17,first_sx_rigidity,0.14674
18,moca_attention,0.14617
19,updrs_3_3_neck,0.13569
20,pdq39_mobility,0.1295
21,rigidity_limb_mean,0.12416
22,updrs_2_12,0.12237
23,moca_visuosp,0.11047
24,updrs_3_14,0.10238
25,grandparents,0.09564
26,first_sx_brady,0.09448
27,updrs_2_13,0.09402
28,updrs_2_8,0.0909
29,updrs_3_10,0.09044
30,updrs_2_10,0.08797
31,updrs_2_1,0.06848
32,updrs_1_10,0.06842
33,updrs_1_12,0.06755
34,aunts_uncles_pd,0.06518
35,pdq39_summary,0.06515
36,updrs_2_5,0.06272
37,updrs_2_7,0.0541
38,comorbidities,0.0503
39,action_tremor_mean,0.04906
40,updrs_3_13,0.04762
41,updrs_1_3,0.04124
42,updrs_3_12,0.03702
43,updrs_3_18,0.03523
44,updrs_1_1,0.03475
45,updrs_3_11,0.03163
46,updrs_3_2,0.03053
47,updrs_1_11,0.02582
48,updrs_1_5,0.02572
49,updrs_1_13,0.02301
50,updrs_1_4,0.02021
51,rest_tremor_mean,0.02014
52,updrs_1_2,0.01425
