rank,feature,mean_abs_shap
1,first_sx_tremor,0.30074
2,study_visit_age,0.28455
3,smell,0.22582
4,bradykinesia_mean,0.20263
5,dreams,0.19146
6,gender,0.17955
7,asymmetry_index,0.16686
8,current_asymmetry,0.14148
9,moca_total,0.13487
10,yrs_education,0.12942
11,moca_attention,0.12886
12,constipation,0.12581
13,symptom_asymmetry,0.11834
14,updrs_3_1,0.11785
15,pdq39_communication,0.10942
16,updrs_3_3_neck,0.10835
17,pdq39_mobility,0.10765
18,pesticides,0.08761
19,first_sx_rigidity,0.08545
20,updrs_3_14,0.08231
21,first_sx_brady,0.06894
22,rigidity_limb_mean,0.06349
23,updrs_3_10,0.06186
24,updrs_2_13,0.05862
25,moca_visuosp,0.0576
26,updrs_2_12,0.0507
27,updrs_1_10,0.04631
28,updrs_1_12,0.0453
29,action_tremor_mean,0.04412
30,grandparents,0.04399
31,updrs_1_11,0.03928
32,comorbidities,0.03879
33,pdq39_summary,0.03698
34,head_blow,0.0364
35,updrs_2_8,0.03305
36,updrs_2_7,0.03296
37,updrs_2_1,0.02991
38,updrs_2_5,0.02903
39,updrs_1_3,0.02888
40,aunts_uncles_pd,0.02857
41,updrs_3_11,0.02651
42,updrs_2_10,0.02188
43,updrs_1_5,0.01809
44,updrs_3_12,0.018
45,updrs_3_18,0.0173
46,updrs_3_13,0.01548
47,updrs_3_2,0.01483
48,updrs_1_13,0.01311
49,updrs_1_1,0.01222
50,updrs_1_4,0.0097
51,rest_tremor_mean,0.00909
52,updrs_1_2,0.00576
