rank,feature,mean_abs_shap
1,first_sx_tremor,1.83624
2,study_visit_age,1.18957
3,smell,0.77139
4,updrs_2_12,0.73219
5,yrs_education,0.70188
6,updrs_2_1,0.52077
7,gender,0.51575
8,symptom_asymmetry,0.50745
9,updrs_2_8,0.36025
10,updrs_2_7,0.35471
11,dreams,0.34313
12,updrs_2_10,0.32586
13,updrs_2_5,0.32099
14,first_sx_brady,0.29784
15,pdq39_communication,0.29613
16,first_sx_rigidity,0.29532
17,comorbidities,0.2811
18,pdq39_mobility,0.24117
19,updrs_2_13,0.23889
20,updrs_1_12,0.2245
21,current_asymmetry,0.21215
22,pdq39_summary,0.20098
23,updrs_1_11,0.18425
24,updrs_1_13,0.17704
25,constipation,0.17539
26,head_blow,0.17164
27,updrs_1_10,0.16116
28,grandparents,0.15028
29,aunts_uncles_pd,0.12321
30,updrs_1_1,0.11846
31,pesticides,0.10576
32,updrs_1_3,0.10555
33,updrs_1_5,0.09143
34,updrs_1_4,0.05885
35,updrs_1_2,0.04152
