rank,feature,mean_abs_shap
1,first_sx_tremor,1.28671
2,smell,0.67351
3,study_visit_age,0.66647
4,updrs_2_12,0.46543
5,symptom_asymmetry,0.42724
6,yrs_education,0.38037
7,updrs_2_1,0.37671
8,gender,0.33987
9,updrs_2_7,0.2856
10,first_sx_brady,0.26604
11,updrs_2_8,0.26432
12,comorbidities,0.25455
13,updrs_2_10,0.24682
14,dreams,0.23589
15,updrs_1_12,0.2074
16,pdq39_communication,0.18669
17,updrs_2_13,0.18053
18,first_sx_rigidity,0.17526
19,updrs_1_11,0.15963
20,pdq39_summary,0.15415
21,updrs_2_5,0.1541
22,pdq39_mobility,0.14312
23,grandparents,0.12719
24,current_asymmetry,0.11638
25,updrs_1_10,0.10857
26,constipation,0.10225
27,updrs_1_5,0.09258
28,updrs_1_13,0.08956
29,aunts_uncles_pd,0.08565
30,updrs_1_1,0.07216
31,pesticides,0.06951
32,head_blow,0.0649
33,updrs_1_3,0.06255
34,updrs_1_4,0.03934
35,updrs_1_2,0.02405
