rank,feature,mean_abs_shap
1,study_visit_age,0.6759
2,smell,0.41974
3,first_sx_tremor,0.40142
4,dreams,0.34159
5,current_asymmetry,0.33767
6,yrs_education,0.31122
7,constipation,0.28722
8,gender,0.27969
9,symptom_asymmetry,0.25616
10,head_blow,0.23534
11,pdq39_communication,0.2317
12,pesticides,0.22364
13,updrs_2_12,0.21542
14,updrs_2_10,0.20912
15,first_sx_rigidity,0.18537
16,updrs_2_1,0.16508
17,updrs_2_8,0.15836
18,updrs_2_5,0.15808
19,grandparents,0.14798
20,updrs_1_12,0.14192
21,pdq39_mobility,0.1408
22,updrs_2_13,0.14038
23,updrs_1_10,0.1382
24,first_sx_brady,0.11408
25,updrs_1_3,0.11235
26,pdq39_summary,0.09953
27,updrs_2_7,0.0995
28,updrs_1_1,0.08047
29,aunts_uncles_pd,0.07841
30,updrs_1_5,0.07595
31,updrs_1_4,0.07243
32,updrs_1_11,0.0721
33,updrs_1_13,0.06772
34,comorbidities,0.06706
35,updrs_1_2,0.06017
