rank,feature,mean_abs_shap
1,study_visit_age,0.36024
2,first_sx_tremor,0.32241
3,smell,0.28441
4,gender,0.21449
5,dreams,0.19867
6,current_asymmetry,0.18563
7,yrs_education,0.18036
8,symptom_asymmetry,0.15242
9,constipation,0.15149
10,updrs_2_12,0.13729
11,pdq39_mobility,0.11802
12,first_sx_rigidity,0.11108
13,pdq39_communication,0.11015
14,updrs_2_1,0.10338
15,updrs_1_10,0.09922
16,updrs_2_10,0.09152
17,first_sx_brady,0.08441
18,pesticides,0.08431
19,updrs_2_13,0.08318
20,grandparents,0.08229
21,updrs_1_12,0.08106
22,updrs_1_3,0.08079
23,updrs_2_5,0.07823
24,head_blow,0.07653
25,updrs_2_8,0.07417
26,updrs_2_7,0.06384
27,pdq39_summary,0.06129
28,updrs_1_11,0.05499
29,updrs_1_13,0.05213
30,updrs_1_5,0.05199
31,comorbidities,0.04971
32,updrs_1_4,0.0477
33,aunts_uncles_pd,0.0369
34,updrs_1_1,0.0269
35,updrs_1_2,0.02138
